ID,Codigo,Link,Nombre,Descripcion/Obervaciones,Tipo,ProcedenciaOC,EsTratoDirecto,EsCompraAgil,CodigoTipo,CodigoAbreviadoTipoOC,DescripcionTipoOC,codigoEstado,Estado,codigoEstadoProveedor,EstadoProveedor,FechaCreacion,FechaEnvio,FechaSolicitudCancelacion,fechaUltimaModificacion,FechaAceptacion,FechaCancelacion,tieneItems,PromedioCalificacion,CantidadEvaluacion,MontoTotalOC,TipoMonedaOC,MontoTotalOC_PesosChilenos,Impuestos,TipoImpuesto,Descuentos,Cargos,TotalNetoOC,CodigoUnidadCompra,RutUnidadCompra,UnidadCompra,CodigoOrganismoPublico,OrganismoPublico,sector,ActividadComprador,CiudadUnidadCompra,RegionUnidadCompra,PaisUnidadCompra,CodigoSucursal,RutSucursal,Sucursal,CodigoProveedor,NombreProveedor,ActividadProveedor,ComunaProveedor,RegionProveedor,PaisProveedor,Financiamiento,PorcentajeIva,Pais,TipoDespacho,FormaPago,CodigoLicitacion,Codigo_ConvenioMarco,IDItem,codigoCategoria,Categoria,codigoProductoONU,NombreroductoGenerico,RubroN1,RubroN2,RubroN3,EspecificacionComprador,EspecificacionProveedor,cantidad,UnidadMedida,monedaItem,precioNeto,totalCargos,totalDescuentos,totalImpuestos,totalLineaNeto,Forma de Pago
48026707,4168-493-AG23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4168-493-AG23,MATERIALES DE OFICINA: 4168-209-COT23,"S.C. N°594 SEG. CIUDADANA
DECRETO N°572/23",AG,Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones),Si,Si,13,AG,Compra Ágil,6,Aceptada,4,Aceptada,2023-04-27,2023-05-04,2023-04-27,2023-05-04,2023-05-04,NA,1,0,0,295715,CLP,295715,47215,IVA,0,0,248500,5087,69.130.500-7,Municipalidad,124195,ILUSTRE MUNICIPALIDAD DE COLBUN,Municipalidades,ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTION| OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,Colbún,Región del Maule,Extranjero,1245084,77.606.752-0,Comercializadora Maule Express spa,1831298,COMERCIALIZADORA MAULE EXPRESS SPA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",Linares,Región del Maule,NA,2152204001,19,Extranjero,7,2,NA,NA,128281739,44101800,"Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Máquinas calculadoras y accesorios",44101801,Calculadoras o accesorios,"Equipos, accesorios y suministros de oficina","Maquinarias, suministros y accesorios de oficina",Máquinas calculadoras y accesorios,CALCULADORA DE 12 DIGITOS,NA,1,Unidad,CLP,12000,0,0,NA,NA,30 dias contra la recepcion conforme de la factura
48098389,4561-46-AG23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4561-46-AG23,ADQUISICIÓN DE VESTUARIOS Y OTROS,"Adquisición de productos recurrentes, vestuarios y otros productos.
Orden de Compra generada por invitación a compra ágil: 4561-99-COT23.
Orden de Compra codigo: 4561-46-AG23 dirigida a INK BLACK  SPA",AG,Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones),Si,Si,13,AG,Compra Ágil,6,Aceptada,4,Aceptada,2023-05-09,2023-05-09,2023-05-09,2023-05-09,2023-05-09,NA,1,0,0,11911305,CLP,11911305,1901805,IVA,0,0,1000950,5477,69.050.200-3,I.Municipalidad de Cabildo Adquisiciones-Educación,115459,I MUNICIPALIDAD DE CABILDO,Municipalidades,GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA,Cabildo,Región de Valparaíso,Extranjero,1208084,77.271.159-K,INK BLACK,1796035,INK BLACK  SPA,OTRAS ACTIVIDADES DE IMPRESION N.C.P.,Estación Central,Región Metropolitana de Santiago,NA,114.05.01.310.000.000,19,Extranjero,22,2,NA,NA,128493216,91111700,Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Servicios de compras o trueques para consumo,91111703,Vestuario,Servicios de cuidado personal y domésticos,Servicio doméstico y de cuidados,Servicios de compras o trueques para consumo,"Polera Hombre para sublimar talla S
10 blancas 
10 negras
5 azul",NA,25,Unidad,CLP,2370,0,0,NA,NA,30 dias contra la recepcion conforme de la factura
48061186,2458-153-AG23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2458-153-AG23,A-174 REPTOS MAN,"compra neumático 195/50 R16 Pirelli, SBC N°756  de compra ágil: 2458-72-COT23",AG,Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones),Si,Si,13,AG,Compra Ágil,6,Aceptada,4,Aceptada,2023-05-03,2023-05-03,2023-05-03,2023-05-03,2023-05-04,NA,1,443829787234043,47,17709342,CLP,17709342,2827542,IVA,0,0,148818,3450,69.070.300-9,Dirección de Aseo Ornato y Mantencion,88102,I MUNICIPALIDAD DE PROVIDENCIA,Municipalidades,GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA,Providencia,Región Metropolitana de Santiago,Extranjero,63319,96.989.250-2,Importadora y Distribuidora Neumax S.A.,61576,Importadora y Distribuidora Neumax S.A.,VENTA O COMPRAVENTA AL POR MENOR DE VEHICULOS AUTOMOTORES NUEVOS O USA| MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES| VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA,Cerrillos,Región Metropolitana de Santiago,NA,215.220.401.1001,19,Extranjero,7,2,NA,NA,128381847,25172500,Vehículos y equipamiento en general / Componentes para vehículos en general / Neumáticos y cámaras de neumáticos,25172502,Cámaras de neumáticos para automóviles,Vehículos y equipamiento en general,Componentes para vehículos en general,Neumáticos y cámaras de neumáticos,"compra neumático 195/50 R16 Pirelli, SBC N°756  de compra ágil: 2458-72-COT23","Neumáticos 195/50 R16 INCLUIDO  INSTALACIÓN, BALANCEO, ALINEACION Y RECEPCION NEUMATICO EN DESUSO EN SANTIAGO. 
QUEDARÁN EXCLUIDO PROVEEDORES QUE OFERTEN PRODUCTOS CHINO POR MALA EXPERIECIA.",2,Unidad,CLP,74409,0,0,NA,NA,30 dias contra la recepcion conforme de la factura
48062510,3950-590-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3950-590-SE23,"ARANCEL SALA CUNA MES DE ABRIL 2023, TATEANNA MOMBERG Y KATHERINE REYES.","Arancel Mensual Sala Cuna, mes de Abril 2023, según FACTURA N°1108 Hijo de Funcionarias Tateanna Momberg Casanova y Claudia Soto Hoffmann.",SE,"Confianza y seguridad de los proveedores, derivados de su experiencia",Si,No,8,SE,Sin emisión automática,4,Enviada a proveedor,1,Nueva orden de compra,2023-05-04,2023-05-09,2023-05-09,2023-05-09,NA,NA,1,5,2,880000,CLP,880000,0,Exento,0,0,880000,4870,61.974.600-7,Dirección de Salud Rural,118628,DIRECCION SALUD RURAL,Salud,NA,Coyhaique,Región Aysén del General Carlos Ibáñez del Campo,CL,22869,8.396.870-2,CLAUDIA HANNELORE SOTO HOFFMANN,23339,CLAUDIA HANNELORE SOTO HOFFMANN,ESTABLECIMIENTOS DE ENSENANZA PREESCOLAR| OTRAS AC,Coyhaique,Región Aysén del General Carlos Ibáñez del Campo,Chile,NA,0,CL,7,2,NA,NA,128387887,91111900,"Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos",91111901,Jardines infantiles o salas cunas,Servicios de cuidado personal y domésticos,Servicio doméstico y de cuidados,"Cuidado de niños, personas enfermas y ancianos","Arancel Mensual Sala Cuna, mes de Abril 2023, Según Factura 
N°1108. Hijo de funcionaria Katherine Reyes.","Arancel Mensual Sala Cuna, mes de Abril 2023, Según Factura 
N°1108. Hijo de funcionaria Katherine Reyes.",1,Unidad no definida,CLP,440000,0,0,0,440000,30 dias contra la recepcion conforme de la factura
48091132,1555-978-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1555-978-SE23,REACTIVOS MAYO (2),“El proveedor antes de facturar deberá aceptar la orden de compra por el portal www.mercadopublico.cl en un plazo no mayor a 2 días hábiles; los productos deberán ser entregados con guía de despacho y esperar la recepción conforme de los servicios o produ,SE,Reposición o complementación de accesorios compatibles con modelos ya adquiridos,Si,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2023-05-09,2023-05-10,2023-05-09,2023-05-10,2023-05-10,NA,1,463428571428571,35,4296846883,CLP,4296846883,686051183,IVA,0,0,36107957,2551,61.606.303-0,Adquisiciones Clinicas Medicamentos e Insumos,7412,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,Salud,HOSPITALES Y CLINICAS,Vallenar,Región de Atacama,CL,24151,82.999.400-3,Roche Chile Ltda. Roche Diagnostics,24526,ROCHE CHILE LIMITADA,VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VEN,Las Condes,Región Metropolitana de Santiago,Chile,NA,19,CL,7,2,NA,NA,128477873,41116000,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Reactivos de analizadores clínicos y diagnósticos,41116004,Reactivos de analizadores químicos,Equipamiento para laboratorios,Instrumentos de medida y experimentación,Reactivos de analizadores clínicos y diagnósticos,"CK-MB 100Tests, cobas c/Integra (ref 7190808190)
","CK-MB 100Tests, cobas c/Integra (ref 7190808190)
",3,Unidad no definida,CLP,61000,0,0,0,183000,30 dias contra la recepcion conforme de la factura
47927036,4180-54-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4180-54-SE23,ZAPATILLAS DEPORTIVAS NEGRAS,"ADQUISICIÓN DE ZAPATILLAS DEPORTIVAS NEGRAS, PARA LOS CARABINEROS ALUMNOS DE LA ESCUELA  DE FORMACIÓN DE CARABINEROS GRUPO PUERTO MONTT.",SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2023-04-12,2023-05-08,2023-05-08,2023-05-08,2023-05-10,NA,1,0,0,53498592,CLP,53498592,8541792,IVA,0,0,4495680,5099,61.979.300-5,Escuela Formación Carabineros Grupo Puerto Montt,113812,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,NA,Puerto Montt,Región de los Lagos,CL,924275,76.163.441-0,Soc Com Easy & Fast SpA,1517922,SOCIEDAD COMERCIAL EASY & FAST SOCIEDAD POR ACCIONES,Comercial,Chorrillos,Metropolitana,NA,4180-54-SE23,19,CL,7,2,4180-6-L123,NA,127979504,53111900,"Ropa, maletas y productos de aseo personal / Calzado / Zapatillas",53111901,Zapatillas de hombre,"Ropa, maletas y productos de aseo personal",Calzado,Zapatillas,"ZAPATILLAS RUNNING NEGRAS, SEGÚN ANEXO 7 ESPECIFICACIONES TÉCNICAS",ZAPATILLAS RUNNING NEGRAS,96,Unidad,CLP,46830,0,0,0,4495680,30 dias contra la recepcion conforme de la factura
48109763,1968-895-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1968-895-SE23,"CET ANGOL ADQUIERE GAS GRANEL PARA SERVICIO DE ALIMENTACION, ESTANQUE N° 160272 GENDARMERIA DE CHILE, REGION DE LA ARAUCANIA","FACTURAR A DIRECCION REGIONAL GENDARMERIA DE TEMUCO, RUT: 61.004.087-K; GIRO: SERVICIO PUBLICO; DIRECCION: DIEGO PORTALES N° 787, TEMUCO. 
Se solicita ACEPTAR la Orden de Compra antes de emitir la Factura. 
Se debe incluir en la referencia de la Factura",SE,Reposición o complementación de accesorios compatibles con modelos ya adquiridos,Si,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2023-05-11,2023-05-11,2023-05-11,2023-05-11,2023-05-11,NA,1,452049689440994,161,436492,CLP,436492,69692,IVA,0,0,366800,2963,61.004.087-K,Región de La Araucanía,6925,DIRECCION GENERAL DE GENDARMERIA DE CHIL,"Gob. Central, Universidades",Gubernamental,Angol,Región de la Araucanía,CL,28070,96.928.510-k,EMPRESAS LIPIGAS S.A.,28097,EMPRESAS LIPIGAS S A,FABRICACION DE GAS; DISTRIBUCION DE COMBUSTIBLES G,Rancagua,Región del Libertador General Bernardo O´Higgins,Chile,1761,19,CL,7,2,NA,NA,128527280,83101600,Servicios básicos y de información pública / Servicios básicos / Servicios públicos de suministro de petróleo y gas,83101605,Recarga de tanques de gas,Servicios básicos y de información pública,Servicios básicos,Servicios públicos de suministro de petróleo y gas,"GAS GRANEL PROPANO COMERCIAL, ESTANQUE N°160272",GAS GRANEL PROPANO COMERCIAL,1400,Litro,CLP,262,0,0,0,366800,30 dias contra la recepcion conforme de la factura
48037309,2306-596-AG23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2306-596-AG23,"ADQUISICIÓN DE CUADERNOS DE CALIGRAFÍA PARA ALUMNOS DE LA ESCUELA CANADA, FONDOS SEP Orden de Compra generada por invitación a compra ágil: 2306-693-COT23","ADQUISICIÓN DE CUADERNOS DE CALIGRAFÍA PARA ALUMNOS DE LA ESCUELA CANADA, FONDOS SEP Orden de Compra codigo: 2306-596-AG23 dirigida a MARIO ENRIQUE GONZÁLEZ ESPINOSA
Datos para la facturación:

Razón Social: Ilustre Municipalidad de Osorno-DAEM Osorno",AG,Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones),Si,Si,13,AG,Compra Ágil,6,Aceptada,4,Aceptada,2023-04-28,2023-05-03,2023-04-28,2023-05-03,2023-05-09,NA,1,5,1,4677652,CLP,4677652,746852,IVA,0,0,393080,3300,69.210.100-6,IMUNI_OSORNO DEPTO EDUCACION,84959,I MUNICIPALIDAD DE OSORNO,Municipalidades,GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA| ESTABLECIMIENTOS DE ENSENANZA PRIMARIA| ESTABLECIMIENTOS DE ENSENANZA SECUNDARIA DE FORMACION GENERAL| HOSPITALES Y CLINICAS| SERVICIOS DE INSTITUTOS DE ESTUDIOS - FUND. Y CORP. DE DESARROLLO,Osorno,Región de los Lagos,Extranjero,56347,7.970.939-5,Librería y Ediciones Mataquito,54948,MARIO ENRIQUE GONZÁLEZ ESPINOSA,EDICION PRINCIPALMENTE DE LIBROS| COMERCIO DE ARTICULOS DE SUMINISTROS DE OFICINAS Y ARTICULOS DE ESCRIT,Curicó,Región del Maule,NA,2152204002,19,Extranjero,7,2,NA,NA,128313072,14111500,Productos de papel / Productos de papel / Papel de imprenta y escritura,14111531,Libros o cuadernos de registro,Productos de papel,Productos de papel,Papel de imprenta y escritura,cuaderno de caligrafía 2° básico equivalente a CALIGRAFIX,NA,22,Unidad,CLP,3170,0,0,NA,NA,30 dias contra la recepcion conforme de la factura
48034959,3877-287-AG23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3877-287-AG23,Orden de Compra generada por invitación a compra ágil: 3877-442-COT23,"Orden de Compra codigo: 3877-287-AG23 dirigida a COMERCIAL CHILEACTIVO SPA
Unidad Requirente Dirección de Desarrollo Comunitario",AG,Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones),Si,Si,13,AG,Compra Ágil,6,Aceptada,4,Aceptada,2023-04-28,2023-05-08,2023-05-08,2023-05-08,2023-05-09,NA,1,4775,8,1697059,CLP,1697059,270959,IVA,0,0,142610,4797,69.071.400-0,Adquisiciones,118067,I MUNICIPALIDAD DE LAMPA,Municipalidades,OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| GOBIERNO CENTRAL| ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA (CENTROS MEDICOS),Lampa,Región Metropolitana de Santiago,Extranjero,36330,77.198.280-8,Comercial Chileactivo,35922,COMERCIAL CHILEACTIVO SPA,COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS,Santiago,Región Metropolitana de Santiago,NA,114.05.01.033.008.000,19,Extranjero,7,2,NA,NA,128306046,85122100,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Rehabilitación",85122106,Kinesiología,"Salud, servicios sanitarios y alimentación",Medicina y servicios de salud,Rehabilitación,ARO DE AGILIDAD PACK 4 COLORES SURTIDOS SET DE 12 UNIDADES,NA,1,Unidad,CLP,9800,0,0,NA,NA,30 dias contra la recepcion conforme de la factura
48077968,5586-1980-CM23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=5586-1980-CM23,Orden de Compra: 5586-1980-CM23,"Contacto: Julio Tereucan
SEC 2170
LOC INT.: AABSUCW
LOC: FSTPCD",CM,Proveniente de convenio marco,No,No,9,CM,Convenio Marco,6,Aceptada,4,Aceptada,2023-05-05,2023-05-05,2023-05-05,2023-05-05,NA,NA,1,4944,25,317445,CLP,317445,0,IVA,0,12837,304608,6499,87.912.900-1,Universidad de la Frontera,277559,UNIVERSIDAD DE LA FRONTERA,"Gob. Central, Universidades",UNIVERSIDADES,Temuco,Región de la Araucanía,CL,23799,80.989.400-2,Turavion SpA,24237,AGENCIA DE VIAJES TURAVION SPA,"AGENCIAS Y ORGANIZADORES DE VIAJES; ACTIVIDADES DE ASISTENCIA A TURIST| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",NA,NA,CL,2170,19,CL,12,2,NA,2239-12-LR21,128432371,NA,NA,0,TASA DE EMBARQUE,NA,NA,NA,(1849900) TASA DE EMBARQUE,(1849900) TASA DE EMBARQUE ; Región Metropolitana de Santiago; Las Condes; Sin direccion,1,NA,CLP,100668,0,0,0,100668,30 dias contra la recepcion conforme de la factura
